id,source_label,source_id,target_label,target_id,relation
1,USER,2ed771cc-0b5f-4451-a052-66f194c79d9d,MESSAGE,c768d9aa-4f1b-411b-8694-d00e91b2a3c3,sender
1,MESSAGE,c768d9aa-4f1b-411b-8694-d00e91b2a3c3,USER,2ed771cc-0b5f-4451-a052-66f194c79d9d,send_by
2,USER,6567b9e2-d4ae-4c65-b823-db4c4a33cc22,MESSAGE,02bc14de-c45a-44bb-9843-aafda05b44be,sender
2,MESSAGE,02bc14de-c45a-44bb-9843-aafda05b44be,USER,6567b9e2-d4ae-4c65-b823-db4c4a33cc22,send_by
3,USER,5ddc09b3-b391-49f3-857d-62143c4c8c23,MESSAGE,8fbb42e9-988a-483c-9d20-11d6ebef7142,sender
3,MESSAGE,8fbb42e9-988a-483c-9d20-11d6ebef7142,USER,5ddc09b3-b391-49f3-857d-62143c4c8c23,send_by
4,USER,7b9fcf71-2be8-40a6-9c94-66756569fcdb,MESSAGE,3d4982ad-0c0d-418f-bc5b-f666472e8779,sender
4,MESSAGE,3d4982ad-0c0d-418f-bc5b-f666472e8779,USER,7b9fcf71-2be8-40a6-9c94-66756569fcdb,send_by
5,USER,8e338a5d-010c-4387-984f-202925c52413,MESSAGE,4fc8d78e-119f-42f7-97e4-938d01ae64ef,sender
5,MESSAGE,4fc8d78e-119f-42f7-97e4-938d01ae64ef,USER,8e338a5d-010c-4387-984f-202925c52413,send_by
6,USER,4bcf592c-dd13-42bc-b117-a1f5e26654da,MESSAGE,b4807021-a550-4c95-91fc-5c292599ffae,sender
6,MESSAGE,b4807021-a550-4c95-91fc-5c292599ffae,USER,4bcf592c-dd13-42bc-b117-a1f5e26654da,send_by
7,USER,cc08e677-46b6-4628-bc05-17094e3e8388,MESSAGE,c51c6543-2c83-41eb-9bf8-dcfe657ffd05,sender
7,MESSAGE,c51c6543-2c83-41eb-9bf8-dcfe657ffd05,USER,cc08e677-46b6-4628-bc05-17094e3e8388,send_by
8,USER,f2a6be6a-462a-4056-b94a-ff19110e37af,MESSAGE,b6dda4f7-1307-4fad-89f0-244ae5ef4a21,sender
8,MESSAGE,b6dda4f7-1307-4fad-89f0-244ae5ef4a21,USER,f2a6be6a-462a-4056-b94a-ff19110e37af,send_by
9,USER,6bbb4b92-937c-4f3b-b7d0-600d6edb5ac1,MESSAGE,6539626a-dc76-4ef0-ac8a-2a4bc1e8187a,sender
