id,role,grade
685071d5-ff97-44b5-b8be-2eca4177f48c,Employee,15
4c24a733-7644-4467-97fb-bbec52158b2f,Staff,10
1356c4d2-280e-48d7-8322-135dfb87c1f0,Employee,15
5dd08025-0170-4f87-bbf4-dc438a0b3602,Worker,13
1741ee51-2b3e-4494-8924-ed72e826f4c5,Assistant_Manger,17
0d3425be-1146-4862-b8f1-b9ab7d6dae78,Staff,10
34a0898a-e26b-426c-8238-55a97925d168,Staff,10
28579b17-87b4-4e5c-8169-edd147dd3579,Worker,13
e20674f5-4bcc-42f8-a4db-af181c1b4356,Manager,19
849b3189-371b-423b-bee1-82693759b947,Assistant_Manger,17
0fc3124f-735a-4f24-865c-8d292ba0e507,Employee,15
1af1496c-ce75-41de-bef0-5f6820183543,Manager,19
225faa9d-75eb-4b3b-9762-b1e95b2ab679,Staff,10
ff7d4cc3-1927-4273-842c-77a995ad09e1,Employee,15
0d364874-0ff2-4104-8f5a-ce1975445aeb,Staff,10
149b8f43-08dc-4732-bfcb-88461abd9c10,Assistant_Manger,17
b9c24370-6ae1-4a95-8a1b-6c8d80cdd575,Manager,19
b251c7c1-2f8a-44f2-8053-1502a933aeed,Manager,19
6ee1f481-03e8-4e20-b744-3513678fd96b,Staff,10
493ddd91-85a7-4e86-bec2-61ec905ffff6,Employee,15
3334b55d-d9ce-4ef1-80af-02414382b5da,Manager,19
e6d59124-7781-4a8c-a0eb-eb99f91fb0f3,Manager,19
a3f12607-1989-4dc3-8383-7c213ce73b77,Employee,15
97945c2a-2e7a-4bbd-957a-7cecad2e3a5a,Assistant_Manger,17
34a1b7f1-fbc3-49f6-917a-6b2356ab2578,Worker,13
c90f4550-9ad3-4f90-8e2a-204f7de90b61,Worker,13
cc69a1ea-351b-41b2-b176-7894fc7e1378,Staff,10
26a153f2-dc49-4611-9f76-2f9e75f4700e,Employee,15
d7478902-18fa-46c8-a96c-94009b4a77dc,Worker,13
03c825b7-6252-4ce4-b957-59bf1b5ef04d,Worker,13
2c9e5fd7-78dd-46d6-8032-231c150cc07a,Manager,19
06f6dd0f-7ad9-4ea0-b415-2321f01f7c6b,Worker,13
9a3eec42-54fa-4277-bea6-571617b79b7d,Assistant_Manger,17
e4e15e39-276e-4fde-b50b-17ed6424c274,Employee,15
520f988a-36fa-46bd-bd71-823a32043c53,Employee,15
8790a006-b9eb-47fa-920d-1f092b7e14eb,Worker,13
09846ffa-1f5a-4456-87de-e02cd4e003cd,Manager,19
56c22d24-598f-4a13-9567-ecb9958f6177,Staff,10
38731af2-f0e2-4013-aad4-e031cd0d0122,Worker,13
742276d5-864a-48a8-9ccc-a34c3ea2b7ea,Assistant_Manger,17
a8ac907e-b720-4a90-8efe-cfdaab7091e5,Staff,10
c55239ae-2846-4f3a-a56a-34dfcab00f68,Manager,19
88bb0ea6-f954-42b3-915e-ade0895a92ea,Assistant_Manger,17
d6eb91aa-4f8a-4383-9990-b8d5220283fc,Staff,10
b0ef9e2f-e434-4d09-8bf2-87721b635dbb,Staff,10
058a4dbb-8d67-46e9-a83b-60761c17dae7,Assistant_Manger,17
bb16e0bc-62f2-4bd3-b89b-92ec882a569c,Manager,19
3739297e-12de-44e8-8258-b261f7ec41a9,Manager,19
3026493f-275d-4d41-ae62-ebbc5011119c,Assistant_Manger,17
d98f9450-1ba7-42bf-8722-66d4265f9efd,Assistant_Manger,17
b94b71a0-deb7-4b5a-a104-32b38c849ae7,Employee,15
cf5d3b32-3508-4c81-9e89-2705c0d14abc,Manager,19
c81aa5f3-fe79-479b-8b1e-39ce32b79f83,Staff,10
d4e3bc1f-46c8-4448-b245-c0aab37013ce,Worker,13
576f6d8e-ba99-45e0-96fc-387ec75d81e8,Staff,10
77558277-3ee6-42d8-89d6-5ca3a8d45111,Manager,19
b57d4769-6f3f-416b-aecf-6502071d754b,Assistant_Manger,17
8b489c30-48ba-475b-ab7c-6d1f203d651c,Staff,10
82b63765-f388-4eb6-8734-6107d34c5240,Assistant_Manger,17
19b025cd-da7f-4117-9be3-0767b416c040,Assistant_Manger,17
082e6205-44f4-4269-9a6f-18998049b8ad,Assistant_Manger,17
0c4f0b5f-06df-44a2-84bb-0083df57d086,Assistant_Manger,17
5a249573-4cee-4d24-a499-5fa02d5700f8,Worker,13
a50e2f46-c465-4cdc-b9c6-e4e6f02379b0,Manager,19
7e562295-1c46-4d28-a7a3-278a65eec74f,Worker,13
9dbd4d61-5380-463f-94ec-34a26b50cb33,Employee,15
69a1c7eb-def7-4016-b9db-06a47e3f958a,Manager,19
