id,role,grade
1,Assistant_Manger,17
2,Employee,15
3,Staff,10
4,Staff,10
5,Staff,10
6,Manager,19
7,Assistant_Manger,17
8,Manager,19
9,Worker,13
10,Employee,15
11,Assistant_Manger,17
12,Worker,13
13,Staff,10
14,Staff,10
15,Assistant_Manger,17
16,Manager,19
17,Staff,10
18,Employee,15
19,Manager,19
20,Worker,13
21,Worker,13
22,Assistant_Manger,17
23,Staff,10
24,Manager,19
25,Staff,10
26,Employee,15
27,Manager,19
28,Assistant_Manger,17
29,Worker,13
30,Manager,19
31,Assistant_Manger,17
32,Assistant_Manger,17
33,Manager,19
34,Employee,15
35,Staff,10
36,Assistant_Manger,17
37,Assistant_Manger,17
38,Employee,15
39,Manager,19
40,Manager,19
41,Assistant_Manger,17
42,Employee,15
43,Assistant_Manger,17
44,Manager,19
45,Worker,13
46,Worker,13
47,Assistant_Manger,17
48,Employee,15
49,Manager,19
50,Assistant_Manger,17
51,Worker,13
52,Manager,19
53,Assistant_Manger,17
54,Manager,19
55,Staff,10
56,Employee,15
57,Staff,10
58,Staff,10
59,Staff,10
60,Manager,19
61,Assistant_Manger,17
62,Staff,10
63,Staff,10
64,Manager,19
65,Employee,15
66,Employee,15
67,Staff,10
68,Worker,13
69,Assistant_Manger,17
70,Worker,13
71,Staff,10
72,Worker,13
73,Employee,15
74,Manager,19
75,Worker,13
76,Staff,10
77,Worker,13
78,Manager,19
79,Worker,13
80,Worker,13
81,Employee,15
82,Staff,10
83,Staff,10
84,Staff,10
85,Staff,10
86,Staff,10
87,Assistant_Manger,17
88,Manager,19
89,Manager,19
90,Worker,13
91,Employee,15
92,Staff,10
93,Employee,15
94,Manager,19
95,Employee,15
96,Manager,19
97,Employee,15
98,Assistant_Manger,17
99,Manager,19
100,Employee,15
101,Worker,13
102,Employee,15
103,Staff,10
104,Assistant_Manger,17
105,Worker,13
106,Assistant_Manger,17
107,Employee,15
108,Employee,15
109,Employee,15
110,Staff,10
111,Staff,10
112,Assistant_Manger,17
113,Employee,15
114,Employee,15
115,Manager,19
116,Employee,15
117,Manager,19
118,Staff,10
119,Worker,13
120,Staff,10
121,Employee,15
122,Assistant_Manger,17
123,Manager,19
124,Employee,15
125,Staff,10
126,Employee,15
127,Assistant_Manger,17
128,Employee,15
129,Manager,19
130,Assistant_Manger,17
131,Worker,13
132,Worker,13
133,Manager,19
134,Manager,19
135,Worker,13
136,Manager,19
137,Assistant_Manger,17
138,Employee,15
139,Staff,10
140,Employee,15
141,Worker,13
142,Manager,19
143,Assistant_Manger,17
144,Employee,15
145,Assistant_Manger,17
146,Worker,13
147,Employee,15
148,Manager,19
149,Manager,19
150,Manager,19
151,Staff,10
152,Worker,13
153,Manager,19
154,Employee,15
155,Staff,10
156,Employee,15
157,Employee,15
158,Staff,10
159,Staff,10
160,Assistant_Manger,17
161,Staff,10
162,Employee,15
163,Worker,13
164,Staff,10
165,Manager,19
166,Manager,19
167,Manager,19
168,Employee,15
169,Employee,15
170,Worker,13
171,Worker,13
172,Assistant_Manger,17
173,Assistant_Manger,17
174,Assistant_Manger,17
175,Staff,10
176,Worker,13
177,Worker,13
178,Staff,10
179,Manager,19
180,Worker,13
181,Manager,19
182,Worker,13
183,Worker,13
184,Manager,19
185,Assistant_Manger,17
186,Worker,13
187,Worker,13
188,Assistant_Manger,17
189,Employee,15
190,Employee,15
191,Employee,15
192,Employee,15
193,Assistant_Manger,17
194,Manager,19
195,Manager,19
196,Staff,10
197,Employee,15
198,Manager,19
199,Assistant_Manger,17
200,Employee,15
201,Manager,19
202,Staff,10
203,Employee,15
204,Manager,19
205,Staff,10
206,Employee,15
207,Staff,10
208,Assistant_Manger,17
209,Manager,19
210,Assistant_Manger,17
211,Staff,10
212,Manager,19
213,Worker,13
214,Manager,19
215,Manager,19
216,Manager,19
217,Staff,10
218,Assistant_Manger,17
219,Worker,13
220,Assistant_Manger,17
221,Worker,13
222,Worker,13
223,Assistant_Manger,17
224,Assistant_Manger,17
225,Assistant_Manger,17
226,Assistant_Manger,17
227,Assistant_Manger,17
228,Manager,19
229,Assistant_Manger,17
230,Assistant_Manger,17
231,Assistant_Manger,17
232,Manager,19
233,Employee,15
234,Assistant_Manger,17
235,Staff,10
236,Assistant_Manger,17
237,Assistant_Manger,17
238,Worker,13
239,Manager,19
240,Employee,15
241,Worker,13
242,Worker,13
243,Worker,13
244,Manager,19
245,Manager,19
246,Worker,13
247,Manager,19
248,Staff,10
249,Employee,15
250,Assistant_Manger,17
251,Assistant_Manger,17
252,Worker,13
253,Employee,15
254,Worker,13
255,Staff,10
256,Staff,10
257,Worker,13
258,Employee,15
259,Staff,10
260,Employee,15
261,Worker,13
262,Assistant_Manger,17
263,Staff,10
264,Staff,10
265,Employee,15
266,Worker,13
267,Staff,10
268,Employee,15
269,Staff,10
270,Staff,10
271,Worker,13
272,Worker,13
273,Employee,15
274,Employee,15
275,Staff,10
276,Assistant_Manger,17
277,Assistant_Manger,17
278,Worker,13
279,Assistant_Manger,17
280,Assistant_Manger,17
281,Worker,13
282,Employee,15
283,Staff,10
284,Staff,10
285,Employee,15
286,Worker,13
287,Staff,10
288,Worker,13
289,Staff,10
290,Worker,13
291,Assistant_Manger,17
292,Worker,13
293,Worker,13
294,Worker,13
295,Worker,13
296,Worker,13
297,Worker,13
298,Worker,13
299,Worker,13
300,Employee,15
301,Manager,19
302,Manager,19
303,Worker,13
304,Manager,19
305,Worker,13
306,Employee,15
307,Staff,10
308,Employee,15
309,Assistant_Manger,17
310,Manager,19
311,Staff,10
312,Employee,15
313,Manager,19
314,Employee,15
315,Employee,15
316,Manager,19
317,Employee,15
318,Worker,13
319,Assistant_Manger,17
320,Manager,19
321,Manager,19
322,Staff,10
323,Employee,15
324,Staff,10
325,Manager,19
326,Worker,13
327,Staff,10
328,Worker,13
329,Employee,15
