id,role,grade
43f87963-d397-4fea-9ba0-d34ad00190b0,Staff,10
888789b6-9e56-4a82-a194-35ba80f9f346,Worker,13
33cd7871-2399-42b1-b7cd-94fad9744e4c,Staff,10
28bdf002-f41e-4b1d-9be8-d04318827907,Employee,15
3a008db2-fb2a-4939-b085-45c317ebe91a,Employee,15
0396f317-5099-4515-89c1-8410aa1ed4a2,Assistant_Manger,17
16ec3d95-85ea-438e-9585-db15594fc749,Employee,15
7ad5780e-c46a-47ff-853f-b97708e2cf84,Worker,13
57d74f74-fe5c-43df-b072-c38414d9c60b,Employee,15
3c42de27-399e-4da0-8ea0-7fd5f2ddfaf1,Assistant_Manger,17
6901a3ad-00bd-4687-b447-b218c6c3b489,Assistant_Manger,17
20cb4961-f052-4273-bf72-25db45bf21e8,Manager,19
3b8baa40-4902-4359-af12-1b6db83d1af7,Employee,15
c1b9f0ac-15ef-48cc-808f-a2d6c6af5e94,Staff,10
b1697231-2696-40e7-9e84-28be750a5ae6,Employee,15
6117fdbc-a6f0-4b10-be48-4f69ba0d47ce,Worker,13
292ba5bc-52ad-44cc-a4cc-d1c14cfd2e14,Staff,10
28c5d7fa-a2ea-49e9-8566-0497a238a1f0,Worker,13
bbe49a5f-91f1-4045-a183-d3d5b9d1750f,Employee,15
535db318-d8ff-41a3-bf0f-f3e35f89ac6d,Employee,15
69f37fef-5d8f-47e7-ad7b-1f53263ad79c,Manager,19
e8320928-6278-4e92-92cd-b51c40032093,Assistant_Manger,17
f84806a6-c6c6-4a4b-aff4-8d3030710334,Employee,15
66e96455-10a4-4525-be87-e540d7ea382c,Employee,15
1113a017-0864-4063-ae86-90454cc42b45,Employee,15
9e367bf4-a4e2-43ae-9675-1319001f7b01,Worker,13
4be64f7a-d4a1-4afb-88e8-2a3458ae059e,Employee,15
76aa548d-6456-4bfe-a5cf-7c1bbec3bc54,Staff,10
0c309cf7-7921-4a0e-8254-ba79698378f7,Assistant_Manger,17
e31e05e0-615b-48e6-b212-8190d98ce21c,Employee,15
9c2cd468-ce95-45e7-a1f9-54c096c1a8b1,Assistant_Manger,17
b82876c2-8dc5-46c3-b637-a199c0663cfe,Worker,13
21ebe7ae-9f47-4fb1-88a6-fff4c8113e74,Staff,10
7399aa7b-a7b5-480f-a06e-7e8861372cf0,Manager,19
b3e47cc4-cec0-4c75-98fa-581f02fe341c,Worker,13
d6ac6ef3-f62b-42eb-ba85-741e25280b47,Worker,13
abfdce77-03ca-42db-b0ba-3fbbbfa19318,Staff,10
176bf470-6cd7-48f9-9e9d-db62de05bbb5,Staff,10
12d4b89c-3cde-419a-aca8-3305e8fa2573,Manager,19
19004772-1a07-48c6-98d0-d9779ccbbc5c,Manager,19
f5822e5f-7fc6-4590-90b1-1bd9591aa945,Employee,15
afd05321-0f91-4939-a079-28d27fd1ac88,Employee,15
bebc6a1f-1e72-44ab-b0f9-0efda0d1175e,Employee,15
e93e5cdb-8ab0-45aa-963e-2ad1639e0847,Worker,13
de42d5d3-5cb9-4e32-9045-fa6224506d7a,Manager,19
c3c2e647-d50c-491e-90a9-5a573caa00a0,Employee,15
4492f081-63c5-405b-9aca-ce56c8da69d6,Manager,19
353b5a54-2e20-43f3-9dca-2150e9660acb,Staff,10
38241f64-9a48-4c1d-b845-be7054252bc6,Staff,10
157aff89-a468-4107-8b0b-06381e205c08,Assistant_Manger,17
31c973dd-03ef-45fb-b043-230a3b461d14,Assistant_Manger,17
79cbf2f5-482b-423b-a26a-d2cddbb5ac63,Manager,19
bb687c76-305f-4622-b243-c6d367b40956,Employee,15
3f5197ff-80be-4c8e-a00c-82a12f9a739d,Employee,15
acf5081a-97cf-4b1f-9570-ffa89dccfc0a,Staff,10
4c569fb2-edcf-47c2-8922-deb89f4e0d95,Staff,10
b9a9bab3-2c84-4f1a-a547-58ab102ea417,Staff,10
0cfbd6eb-fcf0-4bf6-a76d-3ccfbaa61c00,Staff,10
9a3e5084-a51c-4870-a5b0-9ad53dc91c99,Staff,10
0968e72a-2323-45a5-9410-6c4027b016b0,Staff,10
6064324b-b36e-4b9b-b1e5-04254cd76a00,Assistant_Manger,17
baa37e01-28f3-4770-af5c-c968fb3e1943,Employee,15
16b8e98e-5676-4c5f-bc60-a6aef66d3ffc,Worker,13
950d26b1-448d-4e7d-a648-1d7c10708c97,Assistant_Manger,17
2a8971ab-41e0-4b20-83e6-101e78a172ac,Employee,15
8a097f6e-0369-448a-8471-8e5390ed0cb3,Employee,15
8fda3dd9-4575-43f5-9f78-462060549da5,Employee,15
01097497-2b99-49b4-bcc1-b7ffe77a2e69,Staff,10
085d8869-3eed-4150-8d4b-a5932c455714,Manager,19
b38b6be5-c307-4d12-afdd-8bc1f39e26d6,Employee,15
21985c23-780c-41f4-9628-d4bcf6179ca8,Staff,10
ba743724-5448-4d0c-b731-93776bac3f5a,Assistant_Manger,17
505a9db7-b90b-4292-8fab-281264f41a49,Manager,19
ed663734-e263-4301-b27f-20d1f5140019,Manager,19
229d2fc6-c032-4f37-a43c-2e05c3648fbe,Worker,13
aec6a204-0d05-4537-8039-4d6fe8fae4f5,Manager,19
91c09a27-0d84-49ce-9ab0-0f46b5fbfbf1,Manager,19
dec4d34c-f696-4cef-b7e4-719150b6b946,Staff,10
10699d40-530a-4d24-860b-47e4931639f6,Manager,19
d9c7ce51-0e4d-4228-8820-faed1d5f5a79,Staff,10
0c5e2149-a406-4016-a84f-ce2544dd0dca,Employee,15
2257ba0d-d03e-4961-92ad-fea0a5f229a4,Worker,13
695883e1-0695-4026-b8ae-1bb1777e915b,Worker,13
4a6418df-15ad-444d-b000-b4912107e37a,Assistant_Manger,17
1a05f72f-0ff7-4d2a-a5ad-8369c0446df1,Manager,19
666e4a05-c720-4c06-b425-00fbc9e680a9,Manager,19
a8985185-16ce-4677-bfec-91ccc153c3ab,Manager,19
fef664c4-bfcc-4e25-a38a-bfbae39b96f7,Staff,10
137fe6a6-c455-4121-ae31-71f2522487e6,Worker,13
8d10bb6d-715a-43c4-83af-cf6287eaa1bf,Worker,13
dfc732ac-3b4e-43ac-ac64-2a53c1060f95,Assistant_Manger,17
de72f7cc-e81d-4d4d-929c-92cf9ab0c4e7,Worker,13
eae33862-a18e-466e-ba89-c55761717a7a,Employee,15
0bab256a-e2f6-4452-ac26-f4a437e5cf18,Assistant_Manger,17
265fe4ce-d59e-438f-8c88-3a146e4daf97,Staff,10
b13223a6-f893-49d2-a1fc-bb0cbc5adfac,Manager,19
c8922acf-2568-4a3b-aa02-24df89881f4b,Manager,19
5fb0862a-d106-4904-b2fc-0c580e4f8b17,Employee,15
28844293-cb5c-4c4e-964b-79d1a02b6bf8,Worker,13
3b6ba511-9b41-4dd9-9e23-7076c13ca220,Staff,10
19efd6e1-c4de-4ae7-b088-c6060fa3c104,Staff,10
922fb5df-bc1a-4a5a-93db-b19e4d3b2b27,Worker,13
b03dbdbc-ad2d-45a6-a7a2-ec83fb18efee,Manager,19
232fe165-c23f-4948-8973-ef72c2cdb38c,Manager,19
05b305d2-cc8a-4e8e-80df-0d08e5582678,Worker,13
36f93405-49e4-4ba0-a620-4864168e1bc7,Worker,13
21fa52d8-01fc-4d75-b67e-43514d4515e5,Manager,19
d48a2c4d-b070-4d8a-8e13-f2a01efdfd23,Assistant_Manger,17
ead8a766-8096-485f-ab15-c621e1c4fc35,Worker,13
36e38177-6a8c-4f00-be4c-ce4adb36ba1a,Assistant_Manger,17
9da7392e-6146-44c4-812e-6b0a45b765da,Assistant_Manger,17
b7af17e5-5d6e-4407-893d-9d4b89606207,Manager,19
89556e89-0310-4af9-8a10-9c7af03ed567,Assistant_Manger,17
854a233e-eca5-4329-a315-d3f22188ed93,Assistant_Manger,17
cff6b207-49ab-4166-8d82-c1f23e56643c,Assistant_Manger,17
4572c9c8-f443-4cfa-81b2-cc0d6e1c9f12,Staff,10
34fdb230-c04f-4c59-a1d4-2f1ef6a442f0,Staff,10
d823ffe3-4fee-4256-82b6-5c7b75789ed4,Staff,10
7489809a-48da-4943-9cf6-d006a1ff2fe2,Staff,10
8f14077b-5ff0-44b7-8b1d-1fc064b97ff2,Manager,19
576b5d9b-9797-416d-a958-4452a271eefb,Assistant_Manger,17
96a8a0fd-f851-4a0c-8fef-4efde50bf61e,Employee,15
b0055523-8ac9-47f7-bba0-af0276bd9f19,Staff,10
e9f41088-f5e2-4baf-9d38-520c2cb96408,Manager,19
0e0d27c4-1327-4af4-acd1-85887eb45239,Assistant_Manger,17
0e79781d-11fe-4e45-8c26-8c913f365f2d,Assistant_Manger,17
44f77fca-1019-4ed9-85d3-f87c427838ef,Worker,13
837681be-1271-4e59-b7db-60f7dd03b86f,Assistant_Manger,17
c61f9dfe-d809-46a2-9f39-adc0e1f6ec6f,Staff,10
5ed2bdfb-26c6-4e7f-89a4-e22088ad817c,Assistant_Manger,17
9bd05cca-e71c-45f9-a0c6-86513d2b38f3,Employee,15
3a53dbe0-b434-461f-82b1-81f6514a45c2,Worker,13
501ff073-f878-44ff-b281-95e5e638adfe,Staff,10
aec04828-693a-4552-9c92-8c900346d18f,Manager,19
2860c9dd-eaa2-4f5c-b689-f2a022387d73,Assistant_Manger,17
53b40d97-e12b-41e5-8d36-1a6e974c915d,Assistant_Manger,17
763d1f96-d9c9-4801-9554-f171cbcccba8,Assistant_Manger,17
db604061-a0fd-45d9-a494-15b644b39c95,Worker,13
aa7498ac-93d8-4ea4-a0aa-bdd1886819e7,Manager,19
5fd66215-1094-4568-888a-aa983b4d4e55,Worker,13
0a6fbeba-b0ea-48c7-9676-7fd1b5724f76,Employee,15
a0821e53-afc3-4a41-86eb-de9331ce8d55,Worker,13
3671cb92-4fc3-4fb7-9c2a-c5ff758a6114,Assistant_Manger,17
af68aeae-8937-4ff6-90a7-2bdddb6829a6,Assistant_Manger,17
69c4bea7-8b36-4baf-962f-106cd44af42a,Manager,19
0dccb802-f8e9-4184-8a4e-c20ed81392db,Employee,15
f6b46ece-f7b9-4597-9a3c-c037f7ea9d9f,Worker,13
b7c4d412-9329-4ae8-8fc9-273b807b2b6c,Worker,13
de154982-01ab-4ed3-b80b-4a7078b49a69,Staff,10
5987448c-6e3e-4224-8f3a-cb188f2e3db2,Staff,10
c82d192e-0a00-4b99-87ae-a71f796af42b,Worker,13
a18162e3-ec5e-4b87-b042-d1782e944696,Employee,15
3972ea3a-282b-4563-b1a7-a3274a332df0,Staff,10
acdfeee1-3a89-4a22-9b96-ec793222a5f9,Employee,15
2977ebad-65bc-417d-af16-397ee6a6dce0,Employee,15
2b2b2dab-3a43-460b-b544-217abe8b3ac5,Manager,19
856861a1-bb92-4d43-a71b-ad484552bad1,Worker,13
634c4b7c-9fd6-4792-90a0-bef37bf48254,Worker,13
d677907d-c20e-4065-8e60-30797a89d0ab,Employee,15
73124f21-20f9-4d2a-af7a-531de4115746,Staff,10
10259750-0f5e-428c-80a2-a99ae472a3b4,Assistant_Manger,17
82ccd758-7702-4e35-8cbc-1c1743fcb3ef,Worker,13
f41fbdab-ae53-4007-9e64-b36dda9a14de,Employee,15
ebe6efdb-beaa-4168-a9a1-18b777b3a44b,Manager,19
eb725ed6-8856-4e8f-9980-886f0335b852,Staff,10
3ba02398-536e-4aef-84bb-9f399ac3275b,Worker,13
8cd02cc1-3598-4454-9f21-a0e2690eff6f,Worker,13
31044f4a-8373-4d8a-979e-09436fcdeccd,Staff,10
74ec106e-3579-4817-94c9-c7d441e47d49,Assistant_Manger,17
5b6a897e-d453-40cd-8987-fd0492f23fe8,Worker,13
869fcafa-f1f6-4170-8503-4ec020ee37ae,Worker,13
78fd77c4-e1e7-4831-acfc-ed0dd61da36e,Assistant_Manger,17
7189a3bf-40b8-46f6-9f6f-e70a1b88dc93,Employee,15
5445872f-4958-49b4-acd5-76d56e8dd62c,Manager,19
10ee428a-e6dd-4e81-ac26-0dcea6773fdd,Employee,15
a2e8adc2-7975-4a8a-bd08-96e2b75ecbe5,Worker,13
28883805-4744-4ba3-aefa-40779ee5ff1e,Worker,13
0fd61a59-b2ec-4e9a-ae9b-ce3c7f059923,Staff,10
094ea49e-a864-4b2a-abf7-a0456c30e3a0,Manager,19
0254e8c2-bf2a-4694-a0f8-402fb57bf6f3,Assistant_Manger,17
da248ae9-6d6a-4269-aa54-0a7669b00908,Employee,15
d5391320-f0e1-4389-9491-5361b4588cad,Worker,13
c83dcabe-f620-4c18-9927-743843b1920a,Staff,10
f09f7d15-f89a-4286-a63a-a8ee0ddd7bcd,Assistant_Manger,17
d90cda45-2f2f-4603-acda-d1142fcc3ffd,Employee,15
6fdbb2ae-b373-463b-98ab-25e34912d750,Staff,10
d850e5c7-394c-4a71-896f-c63ac9af1725,Staff,10
c7c3c450-a531-4314-b4aa-b3401ebaff5a,Staff,10
ddfd91cd-73a4-4da8-b019-a5e9c5cf152c,Manager,19
b80c793b-0018-4ffd-b9c9-6e0c4d0a403a,Employee,15
0306302f-c65f-41a0-8d5c-0428e6646dac,Worker,13
477f1c08-edcf-4a31-b162-4e1a23a2e8b1,Staff,10
75cacc02-3f21-4425-9656-ddfbaa56ea9c,Assistant_Manger,17
7bd2ad53-f661-4cdf-b875-637bd8dc62c8,Worker,13
f1f14859-14a7-44a5-a061-a9a5c5fde1db,Worker,13
dfbd0950-9bda-4f82-b7d5-4cdb564c6086,Staff,10
887f701a-33d4-4d3e-a17d-b050ba1095ca,Employee,15
8beb5bfc-f183-48d6-81a9-7c534f45e3d5,Worker,13
66b4b27d-cfee-404a-b59d-692654571618,Assistant_Manger,17
2f96b566-fe3a-48c0-94d1-02bf8c792a8d,Assistant_Manger,17
6fbbe6da-1a4c-421e-a28e-b04ab5793aba,Staff,10
a187cb8f-27db-44a5-90bd-5a64fc079a68,Staff,10
e1b2757e-5f03-481c-9950-80e04aa3d426,Manager,19
3d140394-820e-4f73-99c9-1defb1a19fe0,Manager,19
36600bf5-697d-44ac-bfaa-9cb98b95a9a2,Staff,10
9b1397d8-2d0e-4722-a20b-286a4f519b18,Manager,19
5d94c0ec-db36-4db7-8160-13c1efce7262,Staff,10
8c9703be-5ff1-4f32-97f2-7d26bafa4a65,Worker,13
288b83ac-b5f8-4afd-8abc-7efb5bf66bf0,Worker,13
f6d1ad67-2f8d-4811-a20b-e01e7ec49630,Assistant_Manger,17
3bb0689d-6ae2-49ca-afd2-9e6e68afe223,Assistant_Manger,17
7a447a5a-89f8-4ec5-a78a-f81718b26498,Employee,15
fa8c2757-81bf-475e-9810-ca96e0190b03,Employee,15
5a8c1903-1b34-4aea-8c6a-37efa68678d5,Staff,10
a7a186bf-06ab-4ae8-8352-12edd199a75d,Staff,10
2d10cb50-3e94-40a3-933f-2b9311ef47f7,Manager,19
d9f379b4-ec95-4a91-bb01-a039f2d04fea,Employee,15
5d4895e9-0a99-4533-b2ae-a2608e8cd7e8,Worker,13
c553e24b-782b-46ca-92a4-fa0b2bdc0a8b,Worker,13
8a46f6fb-ef01-48ea-ba56-e47ec92b8808,Manager,19
f9b7d153-987b-4844-88c1-15ba54670d31,Manager,19
99a982f1-036d-45fc-bd02-52e34e3ef2cd,Worker,13
58da9dcf-db6a-41f6-b32b-d176e5b666c4,Worker,13
91f6ea02-1e04-4de6-b56e-a2610b88b299,Manager,19
955085f7-21b2-4829-bd9a-7082b04994ff,Assistant_Manger,17
f2b6419d-62dc-4b49-82c4-e53c0512ee93,Staff,10
afb7c196-af32-4d91-a3a3-1a7bc3dd059f,Assistant_Manger,17
1d2b990b-f13f-45a8-8732-342d1e7d8d67,Employee,15
d5eddb54-68d7-47a4-a1be-6f5b2cd0b796,Manager,19
cc209f38-6b01-4b5e-9842-5b973c34e6c8,Worker,13
aae9185f-577d-4a49-9d15-28acc39f55b5,Staff,10
90e94ba5-4575-4745-afff-1b758dec85c5,Manager,19
a06d4740-884d-48ff-8faf-f80ffd7a25a9,Staff,10
36314ee7-3bb3-48fc-8a21-37a86fb57a4e,Employee,15
d65fd50e-cd38-4048-8b2d-b96a1d75d1bd,Manager,19
9895843e-0784-4f19-b3a9-10acaaf18443,Manager,19
019a13bd-312d-4fdc-bfae-51f580326cdf,Worker,13
