id,source,target,relation
1,USER_V1_eec7a616-3e15-41be-8c82-ff54ede9471b,GROUP_V1_26a09c38-63a0-471b-be8d-2782c5244970,belong_to
1,GROUP_V1_26a09c38-63a0-471b-be8d-2782c5244970,USER_V1_eec7a616-3e15-41be-8c82-ff54ede9471b,part_off
2,USER_V1_e1658ec3-0826-4d8f-818c-2bc76cd9fb0c,GROUP_V1_8446bb59-5dfa-4ae2-a45d-ae45a08f3347,belong_to
2,GROUP_V1_8446bb59-5dfa-4ae2-a45d-ae45a08f3347,USER_V1_e1658ec3-0826-4d8f-818c-2bc76cd9fb0c,part_off
3,USER_V1_399d9906-dd77-4fa4-8cd9-112742229acd,GROUP_V1_93095d7f-3459-43c0-9474-4786cba7364e,belong_to
3,GROUP_V1_93095d7f-3459-43c0-9474-4786cba7364e,USER_V1_399d9906-dd77-4fa4-8cd9-112742229acd,part_off
4,USER_V1_c7ce6b51-cbc7-4260-a25f-6780e3ee5710,GROUP_V1_9820211b-018c-438d-b316-44ed5de69bfe,belong_to
4,GROUP_V1_9820211b-018c-438d-b316-44ed5de69bfe,USER_V1_c7ce6b51-cbc7-4260-a25f-6780e3ee5710,part_off
5,USER_V1_ca08e63c-e0cf-46aa-9184-c8b58da61d7d,GROUP_V1_445bcfd5-5931-40fa-a5b1-033904b68dc8,belong_to
5,GROUP_V1_445bcfd5-5931-40fa-a5b1-033904b68dc8,USER_V1_ca08e63c-e0cf-46aa-9184-c8b58da61d7d,part_off
6,USER_V1_cbcc0b67-792f-4c0c-80db-e06dabb70abd,GROUP_V1_63363c88-c300-4934-b213-cf75de612480,belong_to
6,GROUP_V1_63363c88-c300-4934-b213-cf75de612480,USER_V1_cbcc0b67-792f-4c0c-80db-e06dabb70abd,part_off
7,USER_V1_4abd0a3b-8738-4a2a-9cb3-0f5fc9f5ff3e,GROUP_V1_57d9a268-faeb-4e9c-9a24-b6e10a0ef701,belong_to
7,GROUP_V1_57d9a268-faeb-4e9c-9a24-b6e10a0ef701,USER_V1_4abd0a3b-8738-4a2a-9cb3-0f5fc9f5ff3e,part_off
8,USER_V1_0829ebe2-a60c-4432-ad78-6e12a8da7f06,GROUP_V1_b4381970-6d1a-4827-bbf5-4bbee13c2697,belong_to
8,GROUP_V1_b4381970-6d1a-4827-bbf5-4bbee13c2697,USER_V1_0829ebe2-a60c-4432-ad78-6e12a8da7f06,part_off
9,USER_V1_0445e1cf-d31e-421f-b2d0-c7323af98b7b,GROUP_V1_4bc83239-2130-4905-80df-da07ceb1ea05,belong_to
9,GROUP_V1_4bc83239-2130-4905-80df-da07ceb1ea05,USER_V1_0445e1cf-d31e-421f-b2d0-c7323af98b7b,part_off
10,USER_V1_1c5e0a46-a82d-453e-a143-ca95da957b6f,GROUP_V1_f84b1764-cdbd-4614-8289-e5eea05fa001,belong_to
10,GROUP_V1_f84b1764-cdbd-4614-8289-e5eea05fa001,USER_V1_1c5e0a46-a82d-453e-a143-ca95da957b6f,part_off
11,USER_V1_36c9734e-fb43-4ec5-a98e-cf28544f0e8f,GROUP_V1_b624ade1-12d0-44a7-83e6-8fcc0ae8e4d4,belong_to
11,GROUP_V1_b624ade1-12d0-44a7-83e6-8fcc0ae8e4d4,USER_V1_36c9734e-fb43-4ec5-a98e-cf28544f0e8f,part_off
12,USER_V1_a103bb61-4a43-4373-88cd-bb3a950860ac,GROUP_V1_0c47380d-ad7b-426f-8cea-9036b7f1d8e1,belong_to
12,GROUP_V1_0c47380d-ad7b-426f-8cea-9036b7f1d8e1,USER_V1_a103bb61-4a43-4373-88cd-bb3a950860ac,part_off
13,USER_V1_e7f70a33-e1c9-42e9-a080-b42a01ee0014,GROUP_V1_69bc93ea-e07f-4bfa-9c72-b74d7f62aaed,belong_to
13,GROUP_V1_69bc93ea-e07f-4bfa-9c72-b74d7f62aaed,USER_V1_e7f70a33-e1c9-42e9-a080-b42a01ee0014,part_off
14,USER_V1_8d6eb479-a141-4f99-9e10-cdf2318a9e8d,GROUP_V1_78810cda-9525-4b9a-b505-33f61c53f79d,belong_to
14,GROUP_V1_78810cda-9525-4b9a-b505-33f61c53f79d,USER_V1_8d6eb479-a141-4f99-9e10-cdf2318a9e8d,part_off
15,USER_V1_583ca302-d6a4-4773-bdb0-309442d44846,GROUP_V1_7815eb08-7d35-4f0f-849b-6d8539fb4e0a,belong_to
15,GROUP_V1_7815eb08-7d35-4f0f-849b-6d8539fb4e0a,USER_V1_583ca302-d6a4-4773-bdb0-309442d44846,part_off
16,USER_V1_8cc7b8e8-b3b4-4157-8eed-4495fa636951,GROUP_V1_377ac1d9-18ab-4662-b23e-bcdc397512fa,belong_to
16,GROUP_V1_377ac1d9-18ab-4662-b23e-bcdc397512fa,USER_V1_8cc7b8e8-b3b4-4157-8eed-4495fa636951,part_off
17,USER_V1_e3145741-0b78-4ef0-9e1b-1b7db08d5733,GROUP_V1_6a8f1b0e-4877-40bb-b5fb-e71316a7b852,belong_to
17,GROUP_V1_6a8f1b0e-4877-40bb-b5fb-e71316a7b852,USER_V1_e3145741-0b78-4ef0-9e1b-1b7db08d5733,part_off
18,USER_V1_e6b30e21-13b9-4ceb-b630-7b982910920c,GROUP_V1_d119a328-6fbb-42f4-809b-730a1d123d11,belong_to
18,GROUP_V1_d119a328-6fbb-42f4-809b-730a1d123d11,USER_V1_e6b30e21-13b9-4ceb-b630-7b982910920c,part_off
19,USER_V1_bed9c24a-7a52-4361-9c45-1836bee8776f,GROUP_V1_5e546bf8-09c4-480f-950c-cdb403f3e801,belong_to
19,GROUP_V1_5e546bf8-09c4-480f-950c-cdb403f3e801,USER_V1_bed9c24a-7a52-4361-9c45-1836bee8776f,part_off
20,USER_V1_616ad6c7-182f-4f9e-8d90-5cf879fda52a,GROUP_V1_c43c3730-8850-4329-8ad0-a67cf7b316f3,belong_to
20,GROUP_V1_c43c3730-8850-4329-8ad0-a67cf7b316f3,USER_V1_616ad6c7-182f-4f9e-8d90-5cf879fda52a,part_off
21,USER_V1_001a2148-42a3-448b-8f73-00f17f37f575,GROUP_V1_f93370cf-f538-4c6a-a2b7-17206c480b1c,belong_to
21,GROUP_V1_f93370cf-f538-4c6a-a2b7-17206c480b1c,USER_V1_001a2148-42a3-448b-8f73-00f17f37f575,part_off
22,USER_V1_5be8c914-6993-4473-a530-6d0a17eeade4,GROUP_V1_46a5f78c-a5d8-411b-9609-fa7e98d9ff2c,belong_to
22,GROUP_V1_46a5f78c-a5d8-411b-9609-fa7e98d9ff2c,USER_V1_5be8c914-6993-4473-a530-6d0a17eeade4,part_off
23,USER_V1_8a86c543-d292-4c06-a470-adaa96d58b89,GROUP_V1_504a46a1-f7dd-4ad7-98ef-d1c275259ba7,belong_to
23,GROUP_V1_504a46a1-f7dd-4ad7-98ef-d1c275259ba7,USER_V1_8a86c543-d292-4c06-a470-adaa96d58b89,part_off
24,USER_V1_c45c78e7-770d-4e68-b197-073514482e06,GROUP_V1_0f79ad1b-1962-4ff3-9e2b-8dbc94c1ab07,belong_to
24,GROUP_V1_0f79ad1b-1962-4ff3-9e2b-8dbc94c1ab07,USER_V1_c45c78e7-770d-4e68-b197-073514482e06,part_off
25,USER_V1_32954527-b2b7-4103-b092-4c4f2bb4f9d7,GROUP_V1_32ce1ca6-fcb1-4310-b68a-90293294047d,belong_to
25,GROUP_V1_32ce1ca6-fcb1-4310-b68a-90293294047d,USER_V1_32954527-b2b7-4103-b092-4c4f2bb4f9d7,part_off
26,USER_V1_1b921725-5c6a-455c-b32e-dfc4c2fcebae,GROUP_V1_376bd8ba-2c6a-4176-bc20-1a4a540e5984,belong_to
26,GROUP_V1_376bd8ba-2c6a-4176-bc20-1a4a540e5984,USER_V1_1b921725-5c6a-455c-b32e-dfc4c2fcebae,part_off
27,USER_V1_d83757ba-8225-413a-b46f-2b692e1bbc5b,GROUP_V1_a6799f36-e448-418c-8410-f6a46ab8f6f1,belong_to
27,GROUP_V1_a6799f36-e448-418c-8410-f6a46ab8f6f1,USER_V1_d83757ba-8225-413a-b46f-2b692e1bbc5b,part_off
28,USER_V1_523ae981-4573-42e2-95dd-4a0b3fc5b320,GROUP_V1_d326577a-3dc7-423b-b614-f3aa035a39c3,belong_to
28,GROUP_V1_d326577a-3dc7-423b-b614-f3aa035a39c3,USER_V1_523ae981-4573-42e2-95dd-4a0b3fc5b320,part_off
29,USER_V1_a650948d-5006-4fb0-806a-875187ab0e3d,GROUP_V1_60fd7393-d11a-4fb0-85cb-5e792aa1c7b4,belong_to
29,GROUP_V1_60fd7393-d11a-4fb0-85cb-5e792aa1c7b4,USER_V1_a650948d-5006-4fb0-806a-875187ab0e3d,part_off
30,USER_V1_aed1b40b-42b0-4155-8a05-c6b22460c743,GROUP_V1_25cadcb3-dafc-4de5-8cd0-c945d17a3668,belong_to
30,GROUP_V1_25cadcb3-dafc-4de5-8cd0-c945d17a3668,USER_V1_aed1b40b-42b0-4155-8a05-c6b22460c743,part_off
31,USER_V1_8e721574-963e-4564-9468-a5200020bfcf,GROUP_V1_d57cb2f1-16a6-4dc1-b50c-97177534ae8c,belong_to
31,GROUP_V1_d57cb2f1-16a6-4dc1-b50c-97177534ae8c,USER_V1_8e721574-963e-4564-9468-a5200020bfcf,part_off
32,USER_V1_4c5f9423-f18a-49c7-b3f7-13412f0f87a7,GROUP_V1_95eeafb5-580e-4462-9e91-513760e4f9bb,belong_to
