id,source_label,source_id,target_label,target_id,relation
1,USER,15c55c9d-dcdb-467e-8f40-784cfff73c5d,MESSAGE,de50a780-1ed4-4a69-853c-2b5f1b7e5bce,sender
1,MESSAGE,de50a780-1ed4-4a69-853c-2b5f1b7e5bce,USER,15c55c9d-dcdb-467e-8f40-784cfff73c5d,send_by
2,USER,0e73ba3a-67fc-4d83-b487-ede8d8f86935,MESSAGE,58f121fc-0f98-4c16-b114-c83d4a648d51,sender
2,MESSAGE,58f121fc-0f98-4c16-b114-c83d4a648d51,USER,0e73ba3a-67fc-4d83-b487-ede8d8f86935,send_by
3,USER,56a200ba-520d-4e96-93be-6d3f703febea,MESSAGE,281462eb-f4bf-4a92-b246-20734eaad4f3,sender
3,MESSAGE,281462eb-f4bf-4a92-b246-20734eaad4f3,USER,56a200ba-520d-4e96-93be-6d3f703febea,send_by
4,USER,9ccf6fd4-d643-4057-bcdb-ffff4c5b9ec9,MESSAGE,b2d46b3a-0bce-4dba-909a-3e3b4b1ee73b,sender
4,MESSAGE,b2d46b3a-0bce-4dba-909a-3e3b4b1ee73b,USER,9ccf6fd4-d643-4057-bcdb-ffff4c5b9ec9,send_by
5,USER,052246b5-1940-47d5-8a8d-81a13caba900,MESSAGE,f4c4df68-0a9e-44cf-960d-74d1cdd4a55e,sender
5,MESSAGE,f4c4df68-0a9e-44cf-960d-74d1cdd4a55e,USER,052246b5-1940-47d5-8a8d-81a13caba900,send_by
6,USER,dc1aefd8-4135-4417-a9db-0e8024531aeb,MESSAGE,eeb2798d-7589-4bff-a348-aaabbb952707,sender
6,MESSAGE,eeb2798d-7589-4bff-a348-aaabbb952707,USER,dc1aefd8-4135-4417-a9db-0e8024531aeb,send_by
7,USER,bd5dfef7-dd41-4b92-9ac7-337688be3c2a,MESSAGE,ddc93fa6-f54e-468c-8ea2-095f04e8d2be,sender
7,MESSAGE,ddc93fa6-f54e-468c-8ea2-095f04e8d2be,USER,bd5dfef7-dd41-4b92-9ac7-337688be3c2a,send_by
8,USER,eb6649bb-03df-4c43-a35b-6b303846b55a,MESSAGE,4c67e8f9-b64f-41c5-a4d0-a3f3d950cadb,sender
8,MESSAGE,4c67e8f9-b64f-41c5-a4d0-a3f3d950cadb,USER,eb6649bb-03df-4c43-a35b-6b303846b55a,send_by
9,USER,9d569da9-3ee9-41ca-9c34-451bab7ec450,MESSAGE,10ceb83e-a670-4ccc-a404-7b8985852f74,sender
9,MESSAGE,10ceb83e-a670-4ccc-a404-7b8985852f74,USER,9d569da9-3ee9-41ca-9c34-451bab7ec450,send_by
10,USER,48791b37-9927-4066-afc9-878d5d104268,MESSAGE,ef0844ec-aee5-48e4-935e-05ad658951a0,sender
10,MESSAGE,ef0844ec-aee5-48e4-935e-05ad658951a0,USER,48791b37-9927-4066-afc9-878d5d104268,send_by
11,USER,d0384ae3-929d-4cdc-bf55-66f4ef3a1d01,MESSAGE,4c7859b9-4e37-4a5a-adff-c79959f10e2d,sender
11,MESSAGE,4c7859b9-4e37-4a5a-adff-c79959f10e2d,USER,d0384ae3-929d-4cdc-bf55-66f4ef3a1d01,send_by
12,USER,dd5c96e8-f759-42fa-847c-f991e9f180b5,MESSAGE,1a3a7059-dc0e-4b5b-ade0-d79698a87fef,sender
12,MESSAGE,1a3a7059-dc0e-4b5b-ade0-d79698a87fef,USER,dd5c96e8-f759-42fa-847c-f991e9f180b5,send_by
13,USER,8811f705-3cca-4d61-b061-cd9c44ea68d4,MESSAGE,cd5e0033-602f-435a-94c0-8d198b407ede,sender
13,MESSAGE,cd5e0033-602f-435a-94c0-8d198b407ede,USER,8811f705-3cca-4d61-b061-cd9c44ea68d4,send_by
14,USER,74ab9dc3-08da-4b4d-a9eb-6b24fe2fdc39,MESSAGE,9223cdba-38f5-40ee-8d96-31711c4258cc,sender
14,MESSAGE,9223cdba-38f5-40ee-8d96-31711c4258cc,USER,74ab9dc3-08da-4b4d-a9eb-6b24fe2fdc39,send_by
15,USER,f64ac807-f86c-4574-a3fa-b1d84bd682e7,MESSAGE,ed327190-0441-4065-b744-f9fd78a03047,sender
15,MESSAGE,ed327190-0441-4065-b744-f9fd78a03047,USER,f64ac807-f86c-4574-a3fa-b1d84bd682e7,send_by
16,USER,be53e6c6-3b27-43e4-9a74-dd1b93e133a8,MESSAGE,dcd3a954-0a68-44d7-96c7-f39f0f35e451,sender
16,MESSAGE,dcd3a954-0a68-44d7-96c7-f39f0f35e451,USER,be53e6c6-3b27-43e4-9a74-dd1b93e133a8,send_by
17,USER,03232041-3977-4085-8f68-1465b53d1665,MESSAGE,f7392ccf-7d60-4640-a52d-103fa743a6d1,sender
17,MESSAGE,f7392ccf-7d60-4640-a52d-103fa743a6d1,USER,03232041-3977-4085-8f68-1465b53d1665,send_by
18,USER,cca0361c-d8f1-4cf0-912a-84bad29fe510,MESSAGE,d6641173-bc76-4b38-aed4-ab79a618db77,sender
18,MESSAGE,d6641173-bc76-4b38-aed4-ab79a618db77,USER,cca0361c-d8f1-4cf0-912a-84bad29fe510,send_by
19,USER,d1dedb0e-56bc-4b3a-a1bf-a8c9abebfac7,MESSAGE,03574a1f-b8fb-4d33-91a1-6823139b92eb,sender
19,MESSAGE,03574a1f-b8fb-4d33-91a1-6823139b92eb,USER,d1dedb0e-56bc-4b3a-a1bf-a8c9abebfac7,send_by
20,USER,77b2e77c-dff2-4743-af50-4f91391ca925,MESSAGE,b94f49ac-6d0c-4ff6-b776-f327a726cb19,sender
20,MESSAGE,b94f49ac-6d0c-4ff6-b776-f327a726cb19,USER,77b2e77c-dff2-4743-af50-4f91391ca925,send_by
21,USER,d5b7fb3f-6d64-4c89-bdb0-d5a8573deea8,MESSAGE,66662579-2d41-45f8-ba84-1710fdd0f659,sender
21,MESSAGE,66662579-2d41-45f8-ba84-1710fdd0f659,USER,d5b7fb3f-6d64-4c89-bdb0-d5a8573deea8,send_by
22,USER,6bc1dd3a-a66f-491f-8247-13ff6cdbe71a,MESSAGE,0672e771-1684-43d3-a662-5aa192c8ca54,sender
22,MESSAGE,0672e771-1684-43d3-a662-5aa192c8ca54,USER,6bc1dd3a-a66f-491f-8247-13ff6cdbe71a,send_by
23,USER,30718a2b-5deb-47f7-96b2-deeb1203b9ab,MESSAGE,2c14edd6-00d8-49f0-92c0-afe6a20aa4d1,sender
23,MESSAGE,2c14edd6-00d8-49f0-92c0-afe6a20aa4d1,USER,30718a2b-5deb-47f7-96b2-deeb1203b9ab,send_by
24,USER,d39b5e02-910c-4c5e-a25c-778ec344f63a,MESSAGE,e0b5309d-109f-4f9d-9595-4deda4fdaa25,sender
24,MESSAGE,e0b5309d-109f-4f9d-9595-4deda4fdaa25,USER,d39b5e02-910c-4c5e-a25c-778ec344f63a,send_by
25,USER,4d4f7063-6982-4a92-bb42-1b23dd2c50e3,MESSAGE,09bb6032-2d16-4451-ac6c-cc84b95b2c02,sender
25,MESSAGE,09bb6032-2d16-4451-ac6c-cc84b95b2c02,USER,4d4f7063-6982-4a92-bb42-1b23dd2c50e3,send_by
26,USER,efc88699-476f-4b95-89f0-db41c582a430,MESSAGE,447d56a1-3c84-4176-911d-ac0569261a1c,sender
26,MESSAGE,447d56a1-3c84-4176-911d-ac0569261a1c,USER,efc88699-476f-4b95-89f0-db41c582a430,send_by
27,USER,cc1ddd36-9bfa-4f46-9256-67b3bf07a379,MESSAGE,ef7fa543-af9d-41b6-8cc9-1ccc4ab85633,sender
27,MESSAGE,ef7fa543-af9d-41b6-8cc9-1ccc4ab85633,USER,cc1ddd36-9bfa-4f46-9256-67b3bf07a379,send_by
28,USER,e89211fc-79b5-4a5e-ace2-f1582683da8c,MESSAGE,90844a91-8c8d-4cda-a2e2-05cf887ef865,sender
28,MESSAGE,90844a91-8c8d-4cda-a2e2-05cf887ef865,USER,e89211fc-79b5-4a5e-ace2-f1582683da8c,send_by
29,USER,9e59b4d2-6cf8-4ffc-949a-5cfa416038a3,MESSAGE,71308ed5-acfa-4562-88f1-974062d6bf3a,sender
