id,source,target,relation
1,USER_V1_300a2e82-d38b-4295-a1dd-9b0a736a41f8,MESSAGE_V1_5b4ea220-0d69-4fcc-a18e-7731b7658cd3,sender
1,MESSAGE_V1_5b4ea220-0d69-4fcc-a18e-7731b7658cd3,USER_V1_300a2e82-d38b-4295-a1dd-9b0a736a41f8,send_by
2,USER_V1_3f48d175-74eb-4847-9cb1-629cd8ab1117,MESSAGE_V1_73429b62-d27c-4d69-85ad-5a1dcfad0c33,sender
2,MESSAGE_V1_73429b62-d27c-4d69-85ad-5a1dcfad0c33,USER_V1_3f48d175-74eb-4847-9cb1-629cd8ab1117,send_by
3,USER_V1_d2454d3b-0caf-4447-961a-147aa4b440a8,MESSAGE_V1_1b523952-0c0c-4edc-a31b-d1da76d78c01,sender
3,MESSAGE_V1_1b523952-0c0c-4edc-a31b-d1da76d78c01,USER_V1_d2454d3b-0caf-4447-961a-147aa4b440a8,send_by
4,USER_V1_f55b128a-587a-449b-a8eb-0f420ea6c325,MESSAGE_V1_73e7a5b1-6b9e-4c99-ac9f-b29fc3b112f3,sender
4,MESSAGE_V1_73e7a5b1-6b9e-4c99-ac9f-b29fc3b112f3,USER_V1_f55b128a-587a-449b-a8eb-0f420ea6c325,send_by
5,USER_V1_4d9eaa57-e71d-4b0f-9f4f-b284460dab16,MESSAGE_V1_c7559f0b-57a7-4ba9-bed7-fc86c5b9d9e9,sender
5,MESSAGE_V1_c7559f0b-57a7-4ba9-bed7-fc86c5b9d9e9,USER_V1_4d9eaa57-e71d-4b0f-9f4f-b284460dab16,send_by
6,USER_V1_cfb662f7-b5b2-44dd-873a-95244c4e78e1,MESSAGE_V1_e4981957-1f70-43f2-ad05-e43d70a70ef2,sender
6,MESSAGE_V1_e4981957-1f70-43f2-ad05-e43d70a70ef2,USER_V1_cfb662f7-b5b2-44dd-873a-95244c4e78e1,send_by
7,USER_V1_5d672cd9-9870-407d-a3a5-f193c6f0b29c,MESSAGE_V1_bf4c7481-9fc9-43d7-8e27-c0e46080e7e5,sender
7,MESSAGE_V1_bf4c7481-9fc9-43d7-8e27-c0e46080e7e5,USER_V1_5d672cd9-9870-407d-a3a5-f193c6f0b29c,send_by
8,USER_V1_7cc107e4-ec21-4a7d-959f-e47fd8e247af,MESSAGE_V1_96130100-2a0d-49b6-b580-08e777028cb7,sender
8,MESSAGE_V1_96130100-2a0d-49b6-b580-08e777028cb7,USER_V1_7cc107e4-ec21-4a7d-959f-e47fd8e247af,send_by
9,USER_V1_75ce1d59-1275-46cf-b826-f174acc86b0b,MESSAGE_V1_2e9d7d0c-0e4f-4ec4-8b87-6966ba6eddba,sender
9,MESSAGE_V1_2e9d7d0c-0e4f-4ec4-8b87-6966ba6eddba,USER_V1_75ce1d59-1275-46cf-b826-f174acc86b0b,send_by
10,USER_V1_71c301e8-6f05-41e9-b508-4b58fa1c17f2,MESSAGE_V1_d4e65364-3e41-419a-b0ee-d64650409b23,sender
10,MESSAGE_V1_d4e65364-3e41-419a-b0ee-d64650409b23,USER_V1_71c301e8-6f05-41e9-b508-4b58fa1c17f2,send_by
11,USER_V1_f6b7f196-3c09-407c-93d6-2d11e7391aaf,MESSAGE_V1_c4be3d02-be19-4f40-8cd1-36660571cb30,sender
11,MESSAGE_V1_c4be3d02-be19-4f40-8cd1-36660571cb30,USER_V1_f6b7f196-3c09-407c-93d6-2d11e7391aaf,send_by
12,USER_V1_543e50d4-aa06-44ca-bb97-62f613155ae6,MESSAGE_V1_b8216b52-a352-4980-bb12-59672e351777,sender
12,MESSAGE_V1_b8216b52-a352-4980-bb12-59672e351777,USER_V1_543e50d4-aa06-44ca-bb97-62f613155ae6,send_by
13,USER_V1_d76cee5a-df2c-4e19-95b8-cbcadebb83b1,MESSAGE_V1_fe1c031f-ae34-426a-bdb6-2fa3cedc39fe,sender
13,MESSAGE_V1_fe1c031f-ae34-426a-bdb6-2fa3cedc39fe,USER_V1_d76cee5a-df2c-4e19-95b8-cbcadebb83b1,send_by
14,USER_V1_f5efa288-fa9b-4514-9376-b0c90e82b486,MESSAGE_V1_c3ccd552-923e-4bdf-9dc0-057a1d7b3e9b,sender
14,MESSAGE_V1_c3ccd552-923e-4bdf-9dc0-057a1d7b3e9b,USER_V1_f5efa288-fa9b-4514-9376-b0c90e82b486,send_by
15,USER_V1_e795ff73-9602-4c96-87fa-a00fbf76faf8,MESSAGE_V1_c4299bf8-99fc-4f5b-931c-389949d999c8,sender
15,MESSAGE_V1_c4299bf8-99fc-4f5b-931c-389949d999c8,USER_V1_e795ff73-9602-4c96-87fa-a00fbf76faf8,send_by
16,USER_V1_1ae8ec21-e003-4eb8-984b-bf02448e0aed,MESSAGE_V1_1c69bc8f-fc8a-4209-a227-67181b5d61bf,sender
16,MESSAGE_V1_1c69bc8f-fc8a-4209-a227-67181b5d61bf,USER_V1_1ae8ec21-e003-4eb8-984b-bf02448e0aed,send_by
17,USER_V1_9cd12ee1-4b54-46e3-8efe-cd527f9c3fa7,MESSAGE_V1_4e12a6cb-20d5-4a64-ba30-d55df71ed6d0,sender
17,MESSAGE_V1_4e12a6cb-20d5-4a64-ba30-d55df71ed6d0,USER_V1_9cd12ee1-4b54-46e3-8efe-cd527f9c3fa7,send_by
18,USER_V1_f2a54b03-96e3-45d3-993a-fec27fb5ed60,MESSAGE_V1_c510bc76-0ec2-40af-bce3-c62934c35214,sender
18,MESSAGE_V1_c510bc76-0ec2-40af-bce3-c62934c35214,USER_V1_f2a54b03-96e3-45d3-993a-fec27fb5ed60,send_by
19,USER_V1_26f367c3-dc79-49fa-914e-07a451d7a9b3,MESSAGE_V1_e8462e8c-c3e0-41db-8183-120a01a61cdc,sender
19,MESSAGE_V1_e8462e8c-c3e0-41db-8183-120a01a61cdc,USER_V1_26f367c3-dc79-49fa-914e-07a451d7a9b3,send_by
20,USER_V1_cc82a18f-4d49-4139-83e9-33517d53357b,MESSAGE_V1_abe3b427-c5fe-477a-9a08-b863b2e3677f,sender
20,MESSAGE_V1_abe3b427-c5fe-477a-9a08-b863b2e3677f,USER_V1_cc82a18f-4d49-4139-83e9-33517d53357b,send_by
21,USER_V1_f810f26f-12da-4188-a933-9e7c3eae7b30,MESSAGE_V1_e61fbe10-a6c7-4920-a6e3-46a841f0f496,sender
21,MESSAGE_V1_e61fbe10-a6c7-4920-a6e3-46a841f0f496,USER_V1_f810f26f-12da-4188-a933-9e7c3eae7b30,send_by
22,USER_V1_d521efaa-d817-46ba-9f5c-fe70b4fbf83c,MESSAGE_V1_77919709-bcef-4021-96b9-6f35fa2040cc,sender
22,MESSAGE_V1_77919709-bcef-4021-96b9-6f35fa2040cc,USER_V1_d521efaa-d817-46ba-9f5c-fe70b4fbf83c,send_by
23,USER_V1_54666bde-871e-47dd-850c-735ccc0ef0a0,MESSAGE_V1_dd9f48db-3fb7-4d97-b193-cd3095b39694,sender
23,MESSAGE_V1_dd9f48db-3fb7-4d97-b193-cd3095b39694,USER_V1_54666bde-871e-47dd-850c-735ccc0ef0a0,send_by
24,USER_V1_ea31f171-ecae-4b65-8724-822e609ee2c3,MESSAGE_V1_aca2575d-f276-4791-8134-ef23be9e6e2f,sender
24,MESSAGE_V1_aca2575d-f276-4791-8134-ef23be9e6e2f,USER_V1_ea31f171-ecae-4b65-8724-822e609ee2c3,send_by
25,USER_V1_e1658ec3-0826-4d8f-818c-2bc76cd9fb0c,MESSAGE_V1_49474d3a-a6b8-482c-82f8-8014e35f5c2d,sender
25,MESSAGE_V1_49474d3a-a6b8-482c-82f8-8014e35f5c2d,USER_V1_e1658ec3-0826-4d8f-818c-2bc76cd9fb0c,send_by
26,USER_V1_1be8fee6-ff4c-4073-9467-e9c3035e05d8,MESSAGE_V1_85d7a7d2-c647-42bd-aedb-282d830ed58a,sender
26,MESSAGE_V1_85d7a7d2-c647-42bd-aedb-282d830ed58a,USER_V1_1be8fee6-ff4c-4073-9467-e9c3035e05d8,send_by
27,USER_V1_dc506d6e-20ba-4a1f-ae18-3cc03f96db43,MESSAGE_V1_157ca643-ad4d-4472-a1c9-c91d50ae1255,sender
27,MESSAGE_V1_157ca643-ad4d-4472-a1c9-c91d50ae1255,USER_V1_dc506d6e-20ba-4a1f-ae18-3cc03f96db43,send_by
28,USER_V1_4bc9b4fe-ece1-4707-812c-fd25adee938d,MESSAGE_V1_8fbacfff-5a40-4a77-90ce-774bd38ecb0d,sender
28,MESSAGE_V1_8fbacfff-5a40-4a77-90ce-774bd38ecb0d,USER_V1_4bc9b4fe-ece1-4707-812c-fd25adee938d,send_by
29,USER_V1_ddbb8e42-f732-40fa-88b3-40bfe768f1ce,MESSAGE_V1_f9a82bef-48a8-4808-836c-c9f653e2a0c0,sender
29,MESSAGE_V1_f9a82bef-48a8-4808-836c-c9f653e2a0c0,USER_V1_ddbb8e42-f732-40fa-88b3-40bfe768f1ce,send_by
30,USER_V1_342ffcec-191f-4aaf-a2ff-4eca9115f89b,MESSAGE_V1_af86df51-6ef3-4c34-acef-fe7cfa84963b,sender
