id,role,grade
f54c3896-e5f3-401c-a9f2-a5ae2228c678,Staff,10
a31bf329-e920-479c-bb0e-e5ba0ed88492,Staff,10
1d36ffdf-8140-465a-aefe-348a37aa51a5,Manager,19
5aa018be-6438-4e84-9e12-888b13eebeb6,Employee,15
3d337302-a203-4d14-afa9-ab643055b6c5,Manager,19
41afd3ed-7ff3-4339-9677-ebae015c5a07,Manager,19
49358e33-ca0b-4cbd-8107-cb6e7b63c2b4,Assistant_Manger,17
ba021295-5998-47e6-a6eb-fd63da4fe16c,Staff,10
1bbbe5a7-b630-454b-ac45-f77b662ecdb0,Employee,15
4b3c883a-8849-42f4-8174-ee2e98aafa6e,Staff,10
d25ac476-50b6-41ba-86e0-284d56081d2c,Worker,13
c086f944-c05a-4a20-8066-39407bb1a2b9,Assistant_Manger,17
a9c199c2-2448-4d33-b0e9-c0e2e16fa30a,Assistant_Manger,17
e1c5672c-edfe-4998-a548-9868809c9269,Employee,15
71c7e591-b5aa-4cdb-8350-0c6264824d6d,Employee,15
d6ea65a6-db14-466d-9593-a3de30d46075,Assistant_Manger,17
f750a99f-a889-4dc1-8e92-678fc924cf34,Staff,10
726d0744-5d68-477e-97a3-9d9aef60664b,Worker,13
313c3d31-d5ce-4cba-8cbf-46f111eb8bc5,Assistant_Manger,17
e38e3d9f-c8fb-42eb-8e2f-612f472c7c5c,Assistant_Manger,17
226f5835-61a4-4f7c-be14-53596d0ae899,Worker,13
282d744a-e016-4253-92ed-f0a23e7569b7,Worker,13
0fb29720-fd8d-40dd-9265-ad17dbff3159,Worker,13
7fa3e769-e3a3-4ebe-b06a-4d63ae68d3e1,Employee,15
567d0a0a-8c93-43ee-bf38-17f2a3fe319c,Manager,19
68f3fc1a-b7e5-4514-9a56-2f9d344edfe1,Staff,10
73ac7f36-6013-4487-8cf4-ebd2290a2a5f,Manager,19
0695ea20-86d1-44d2-ab58-155a65b4e0b0,Assistant_Manger,17
e40cdc0b-1f25-457c-9e9e-6cec15d28c00,Worker,13
a2fe9f32-e680-4369-962c-8c17d0a39c24,Assistant_Manger,17
cb17c25c-fd67-4dd1-a63c-d3122730e9c8,Manager,19
dd7a469d-cc92-435e-bca5-c6f62b09eb1e,Employee,15
73b4cb28-b461-458f-ad0e-6edf18327303,Employee,15
31e20684-c1e3-4995-8a30-452a1f5a3492,Worker,13
781d2487-d877-422d-8e42-22a170bf0126,Staff,10
91a9eb05-0012-4c59-b919-16091df47609,Manager,19
6356edea-f7aa-4bb8-a961-d5612159c648,Assistant_Manger,17
9776e126-141b-4450-aab3-48b328a139ab,Worker,13
9a00e56c-394a-4fd3-8fee-a62e0d46b4a1,Employee,15
c28e4e33-ad6e-45a8-ba2e-362b37b97191,Worker,13
40be779c-06a8-4931-89c8-2ed6b577ae92,Employee,15
e2354335-1bf5-4ba4-9bd2-614d8be10993,Employee,15
6e193ac4-a186-4d50-b5c6-83e3477e7d40,Assistant_Manger,17
505d7d9b-0d63-4fa2-8fc8-8d9941554d5e,Worker,13
7c75940f-7a0c-4d60-906c-89ec8ed499b3,Staff,10
cb64b59b-928d-447d-b478-47ef62d58234,Manager,19
3695a392-e61a-4834-a94f-994f48952175,Worker,13
80b4acff-9693-4bd5-8212-5c8aadbd6b17,Manager,19
4a25ed6e-19e9-462b-a262-b1c3252e22a7,Employee,15
db56a9ec-0575-4b1f-9197-575f1c1ab32e,Assistant_Manger,17
c354e3b5-fd13-43a7-a02d-0d95dd5f45c3,Employee,15
cd1c25e8-4bd9-449f-abc5-5715ec5c4b5e,Worker,13
0d1330d5-4718-4fcf-bdac-753e6ec2372c,Assistant_Manger,17
d7b9235b-bf07-4be7-9ab6-2cb9e66e3906,Staff,10
0bbc2fbf-8921-4573-b554-a33f13da0d40,Employee,15
b723f887-4ac3-4807-966e-fa718323ce54,Assistant_Manger,17
5470dcca-4f44-41e5-8b52-1b1a641a7c6e,Employee,15
d841abd3-03bb-4b83-811f-b6185072c5f1,Employee,15
3d36d68d-5d43-4d3f-b3a1-051082c2f6c4,Employee,15
137a2a7c-0cf9-4282-a4f4-a68a031056cf,Employee,15
f5645e4b-a54c-4bea-a63f-b6808cf242fb,Employee,15
42df0992-2ed1-4a1d-9932-351692133de0,Manager,19
1c19438e-90f8-4d9a-81d7-7bdf2765b1f3,Worker,13
308242e4-18af-4170-870a-2aaeedf01009,Assistant_Manger,17
e3e8cdd3-74e2-48dc-9aa6-1493fc596521,Assistant_Manger,17
9a89679c-880c-48e6-995b-d4da949832d3,Manager,19
6c9bedf0-3971-4f33-ab85-99ac5a2071b1,Worker,13
b6b74209-56c5-452a-8d45-539643791a77,Staff,10
